~id,~from,~to,~label,distance:int,color:string
D12_D13,Landover,New Carrollton,SEGMENT,7655,orange
G04_G05,Morgan Boulevard,Largo Town Center,SEGMENT,7256,silver
C08_C07,Pentagon City,Pentagon,SEGMENT,3216,yellow
F04_F03,Waterfront,L'Enfant Plaza,SEGMENT,4158,green
F09_F08,Naylor Road,Southern Avenue,SEGMENT,6612,green
F08_F07,Southern Avenue,Congress Heights,SEGMENT,5508,green
E04_E05,Columbia Heights,Georgia Ave-Petworth,SEGMENT,4717,yellow
B35_B04,NoMa-Gallaudet U,Rhode Island Ave-Brentwood,SEGMENT,5771,red
F06_F05,Anacostia,Navy Yard-Ballpark,SEGMENT,6254,green
C03_C02,Farragut West,McPherson Square,SEGMENT,2001,orange
D01_D02,Federal Triangle,Smithsonian,SEGMENT,2016,orange
D03_D04,L'Enfant Plaza,Federal Center SW,SEGMENT,1757,orange
B10_B11,Wheaton,Glenmont,SEGMENT,9334,red
A04_A03,Woodley Park-Zoo/Adams Morgan,Dupont Circle,SEGMENT,6304,red
E09_E10,College Park-U of Md,Greenbelt,SEGMENT,12981,green
A15_A14,Shady Grove,Rockville,SEGMENT,14151,red
D08_G01,Stadium-Armory,Benning Road,SEGMENT,13408,silver
B05_B06,Brookland-CUA,Fort Totten,SEGMENT,7146,red
B03_B35,Union Station,NoMa-Gallaudet U,SEGMENT,3553,red
E06_E07,Fort Totten,West Hyattsville,SEGMENT,10406,green
C13_C12,King St-Old Town,Braddock Road,SEGMENT,3453,yellow
A07_A06,Tenleytown-AU,Van Ness-UDC,SEGMENT,5841,red
E05_E06,Georgia Ave-Petworth,Fort Totten,SEGMENT,8348,yellow
G02_G03,Capitol Heights,Addison Road-Seat Pleasant,SEGMENT,5215,silver
C07_F03,Pentagon,L'Enfant Plaza,SEGMENT,12356,yellow
K07_K06,Dunn Loring-Merrifield,West Falls Church-VT/UVA,SEGMENT,12638,orange
F01_E01,Gallery Pl-Chinatown,Mt Vernon Sq 7th St-Convention Center,SEGMENT,2985,yellow
N02_N01,Tysons Corner,McLean,SEGMENT,3454,silver
D10_D11,Deanwood,Cheverly,SEGMENT,6149,orange
A13_A12,Twinbrook,White Flint,SEGMENT,5895,red
A10_A09,Medical Center,Bethesda,SEGMENT,5530,red
C15_C14,Huntington,Eisenhower Avenue,SEGMENT,2770,yellow
F11_F10,Branch Ave,Suitland,SEGMENT,9144,green
B02_B03,Judiciary Square,Union Station,SEGMENT,3446,red
D06_D07,Eastern Market,Potomac Ave,SEGMENT,3289,orange
A05_A04,Cleveland Park,Woodley Park-Zoo/Adams Morgan,SEGMENT,3740,red
G03_G04,Addison Road-Seat Pleasant,Morgan Boulevard,SEGMENT,8105,silver
E03_E04,U Street/African-Amer Civil War Memorial/Cardozo,Columbia Heights,SEGMENT,4715,yellow
D04_D05,Federal Center SW,Capitol South,SEGMENT,3052,orange
A01_B01,Metro Center,Gallery Pl-Chinatown,SEGMENT,1505,red
K01_C05,Court House,Rosslyn,SEGMENT,5807,orange
A11_A10,Grosvenor-Strathmore,Medical Center,SEGMENT,11821,red
C12_C10,Braddock Road,Ronald Reagan Washington National Airport,SEGMENT,16108,yellow
C10_C09,Ronald Reagan Washington National Airport,Crystal City,SEGMENT,2939,yellow
K04_K03,Ballston-MU,Virginia Square-GMU,SEGMENT,2980,orange
K05_K04,East Falls Church,Ballston-MU,SEGMENT,13156,orange
A12_A11,White Flint,Grosvenor-Strathmore,SEGMENT,7309,red
K03_K02,Virginia Square-GMU,Clarendon,SEGMENT,2473,orange
K02_K01,Clarendon,Court House,SEGMENT,2687,orange
E02_E03,Shaw-Howard U,U Street/African-Amer Civil War Memorial/Cardozo,SEGMENT,2555,yellow
E01_E02,Mt Vernon Sq 7th St-Convention Center,Shaw-Howard U,SEGMENT,2527,yellow
A03_A02,Dupont Circle,Farragut North,SEGMENT,2711,red
D08_D09,Stadium-Armory,Minnesota Ave,SEGMENT,11080,orange
D02_D03,Smithsonian,L'Enfant Plaza,SEGMENT,2643,orange
C01_D01,Metro Center,Federal Triangle,SEGMENT,1561,orange
C09_C08,Crystal City,Pentagon City,SEGMENT,4068,yellow
D07_D08,Potomac Ave,Stadium-Armory,SEGMENT,3750,orange
G01_G02,Benning Road,Capitol Heights,SEGMENT,7779,silver
C05_C04,Rosslyn,Foggy Bottom-GWU,SEGMENT,6993,orange
C06_C05,Arlington Cemetery,Rosslyn,SEGMENT,4936,blue
B06_B07,Fort Totten,Takoma,SEGMENT,10026,red
K08_K07,Vienna/Fairfax-GMU,Dunn Loring-Merrifield,SEGMENT,13165,orange
J03_J02,Franconia-Springfield,Van Dorn Street,SEGMENT,18695,blue
D11_D12,Cheverly,Landover,SEGMENT,9665,orange
C14_C13,Eisenhower Avenue,King St-Old Town,SEGMENT,3734,yellow
C07_C06,Pentagon,Arlington Cemetery,SEGMENT,7057,blue
